FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
31033.0,Cheyenne,Nebraska,US,2021-01-02 05:22:33,41.21999357,-102.9941693,758,12,0,746,"Cheyenne, Nebraska, US",8507.29517396184,1.5831134564643798
31111.0,Lincoln,Nebraska,US,2021-01-02 05:22:33,41.04658298,-100.7475374,3026,34,0,2992,"Lincoln, Nebraska, US",8667.01036833362,1.1235955056179776
31119.0,Madison,Nebraska,US,2021-01-02 05:22:33,41.91676024,-97.6005481,3778,39,0,3739,"Madison, Nebraska, US",10763.83942562466,1.0322922181048173
32510.0,Carson City,Nevada,US,2021-01-02 05:22:33,39.15509045,-119.7480219,5016,57,0,4959,"Carson City, Nevada, US",8970.59875527577,1.1363636363636365
32017.0,Lincoln,Nevada,US,2021-01-02 05:22:33,37.64268459,-114.8790388,277,1,0,276,"Lincoln, Nevada, US",5344.395137950994,0.3610108303249097
34033.0,Salem,New Jersey,US,2021-01-02 05:22:33,39.58719656,-75.34696629999998,3121,112,0,3009,"Salem, New Jersey, US",5002.805161497155,3.5885933995514256
35027.0,Lincoln,New Mexico,US,2021-01-02 05:22:33,33.74526079,-105.4586166,1043,10,0,1033,"Lincoln, New Mexico, US",5329.041487839771,0.9587727708533078
35049.0,Santa Fe,New Mexico,US,2021-01-02 05:22:33,35.50708973,-105.9774716,7414,75,0,7339,"Santa Fe, New Mexico, US",4930.8982561619605,1.0115996762881037
36001.0,Albany,New York,US,2021-01-02 05:22:33,42.60060306,-73.97723916,11917,205,0,11712,"Albany, New York, US",3900.7417202935458,1.720231601913233
36021.0,Columbia,New York,US,2021-01-02 05:22:33,42.24819348,-73.63089095,1678,60,0,1618,"Columbia, New York, US",2822.0177931753587,3.575685339690107
36053.0,Madison,New York,US,2021-01-02 05:22:33,42.91653905,-75.67266639,2337,66,0,2271,"Madison, New York, US",3294.286801708462,2.8241335044929397
36057.0,Montgomery,New York,US,2021-01-02 05:22:33,42.90123494,-74.44011632,1393,45,0,1348,"Montgomery, New York, US",2830.092846549237,3.230437903804738
36085.0,Richmond,New York,US,2021-01-02 05:22:33,40.58582155,-74.14808598,35646,1288,0,34358,"Richmond, New York, US",7486.406394717554,3.613308646131403
37047.0,Columbus,North Carolina,US,2021-01-02 05:22:33,34.26744084,-78.65801424,3629,83,0,3546,"Columbus, North Carolina, US",6537.796353678749,2.287131441168366
37099.0,Jackson,North Carolina,US,2021-01-02 05:22:33,35.28814273,-83.14093385,2259,18,0,2241,"Jackson, North Carolina, US",5141.335518230234,0.796812749003984
37109.0,Lincoln,North Carolina,US,2021-01-02 05:22:33,35.48508185,-81.21740317,5378,20,0,5358,"Lincoln, North Carolina, US",6245.427413454727,0.3718854592785422
37115.0,Madison,North Carolina,US,2021-01-02 05:22:33,35.85402722,-82.71346418,797,19,0,778,"Madison, North Carolina, US",3663.5256262928065,2.383939774153074
37123.0,Montgomery,North Carolina,US,2021-01-02 05:22:33,35.33155144,-79.90416657,1920,46,0,1874,"Montgomery, North Carolina, US",7065.837412137048,2.3958333333333335
37153.0,Richmond,North Carolina,US,2021-01-02 05:22:33,35.00417719,-79.74491009,2630,47,0,2583,"Richmond, North Carolina, US",5866.738049030761,1.7870722433460076
39079.0,Jackson,Ohio,US,2021-01-02 05:22:33,39.01914254,-82.61818559999998,2138,36,0,2102,"Jackson, Ohio, US",6596.118841205689,1.6838166510757715
39097.0,Madison,Ohio,US,2021-01-02 05:22:33,39.89381073,-83.40178317,2926,46,0,2880,"Madison, Ohio, US",6541.324808298496,1.5721120984278878
39113.0,Montgomery,Ohio,US,2021-01-02 05:22:33,39.75394919,-84.29050975,35615,712,0,34903,"Montgomery, Ohio, US",6698.48990101319,1.9991576582900463
40065.0,Jackson,Oklahoma,US,2021-01-02 05:22:33,34.58781741,-99.41138784,2336,37,0,2299,"Jackson, Oklahoma, US",9523.033020790868,1.5839041095890412
